자치구,법정동,사업구분,진행단계,상태
강북구,미아동,재개발(도시정비형),조합설립인가,운영
강북구,수유동,재개발(주택정비형),정비계획 수립,운영
영등포구,여의도동,재건축,조합설립인가,운영
영등포구,여의도동,재건축,조합설립추진위원회승인,운영
동대문구,전농동,지역주택,조합설립인가,운영
성동구,마장동,재건축,조합설립인가,운영
서대문구,홍제동,재개발(도시정비형),정비계획 수립,운영
영등포구,도림동,재개발(도시정비형),정비계획 수립,운영
강서구,염창동,가로주택정비,조합설립인가,운영
서초구,방배동,가로주택정비,조합설립인가,운영
영등포구,양평동,재건축,안전진단,운영
영등포구,대림동,재건축,안전진단,운영
영등포구,당산동,재건축,안전진단,운영
영등포구,신길동,재건축,안전진단,운영
영등포구,여의도동,재건축,안전진단,운영
영등포구,여의도동,재건축,안전진단,운영
영등포구,여의도동,재건축,안전진단,운영
영등포구,여의도동,재건축,안전진단,운영
영등포구,도림동,재개발(주택정비형),정비계획 수립,운영
영등포구,대림동,재개발(주택정비형),정비계획 수립,운영
성북구,돈암동,지역주택,조합설립인가,운영
성북구,정릉동,지역주택,조합설립인가,운영
송파구,송파동,재건축,조합설립인가,운영
강북구,번동,가로주택정비,조합설립인가,운영
금천구,시흥동,재개발(주택정비형),조합설립추진위원회승인,운영
강동구,명일동,재건축,정비계획 수립,운영
동작구,신대방동,지역주택,조합설립인가,운영
성북구,석관동,가로주택정비,조합설립인가,운영
중구,신당동,재개발(주택정비형),조합설립인가,운영
구로구,개봉동,가로주택정비,조합설립인가,운영
동작구,상도동,지역주택,조합설립인가,운영
동작구,사당동,재건축,사업시행인가,운영
마포구,망원동,가로주택정비,조합설립인가,운영
중랑구,면목동,가로주택정비,조합설립인가,운영
중랑구,면목동,가로주택정비,조합설립인가,운영
중구,중림동,재개발(주택정비형),조합설립추진위원회승인,운영
서대문구,홍제동,가로주택정비,조합설립인가,운영
서대문구,홍은동,재개발(주택정비형),정비계획 수립,운영
강동구,천호동,가로주택정비,조합설립인가,운영
강동구,천호동,재개발(주택정비형),조합설립인가,운영
성북구,정릉동,가로주택정비,조합설립인가,운영
강남구,도곡동,재건축,착공신고,운영
강남구,도곡동,재건축,조합설립추진위원회승인,운영
동대문구,용두동,재개발(도시정비형),조합설립인가,운영
종로구,신문로1가,재개발(도시정비형),조합설립추진위원회승인,운영
구로구,고척동,가로주택정비,조합설립인가,운영
동작구,사당동,가로주택정비,조합설립인가,운영
금천구,가산동,재건축,조합설립추진위원회승인,운영
금천구,독산동,지역주택,조합설립인가,운영
마포구,합정동,재개발(도시정비형),정비계획 수립,운영
금천구,시흥동,소규모재건축,조합설립인가,운영
강남구,개포동,재건축,조합설립인가,운영
동작구,사당동,지역주택,조합설립인가,운영
마포구,망원동,가로주택정비,조합설립인가,운영
마포구,망원동,가로주택정비,조합설립인가,운영
강북구,미아동,가로주택정비,조합설립인가,운영
동작구,상도동,재개발(주택정비형),정비계획 수립,운영
송파구,오금동,가로주택정비,조합설립인가,운영
중랑구,묵동,소규모재건축,조합설립인가,운영
마포구,상수동,지역주택,조합설립인가,운영
마포구,공덕동,소규모재건축,조합설립인가,운영
영등포구,여의도동,재건축,조합설립인가,운영
강동구,명일동,가로주택정비,사업시행인가,운영
구로구,고척동,재건축,조합설립인가,운영
강동구,명일동,재건축,정비계획 수립,운영
양천구,신정동,재건축,정비계획 수립,운영
마포구,성산동,가로주택정비,조합설립인가,운영
강동구,명일동,재건축,조합설립인가,운영
영등포구,여의도동,재건축,조합설립인가,운영
중랑구,면목동,가로주택정비,조합설립인가,운영
동작구,사당동,지역주택,조합설립인가,운영
영등포구,문래동,재개발(도시정비형),정비계획 수립,운영
영등포구,신길동,소규모재건축,조합설립추진위원회승인,운영
영등포구,대림동,가로주택정비,조합설립추진위원회승인,운영
영등포구,대림동,가로주택정비,조합설립추진위원회승인,운영
영등포구,영등포동,가로주택정비,조합설립추진위원회승인,운영
영등포구,신길동,가로주택정비,조합설립추진위원회승인,운영
영등포구,신길동,가로주택정비,조합설립추진위원회승인,운영
동작구,상도동,지역주택,조합설립인가,운영
동작구,상도동,지역주택,조합설립인가,운영
강북구,미아동,가로주택정비,조합설립인가,운영
성북구,장위동,가로주택정비,조합설립인가,운영
강북구,번동,가로주택정비,사업시행인가,운영
마포구,도화동,재개발(주택정비형),조합설립인가,운영
송파구,마천동,재개발(주택정비형),조합설립인가,운영
동대문구,제기동,재건축,관리처분인가,운영
서초구,방배동,재건축,조합설립추진위원회승인,운영
용산구,한강로3가,재개발(도시정비형),조합설립추진위원회승인,운영
강서구,화곡동,가로주택정비,조합설립인가,운영
송파구,풍납동,가로주택정비,착공신고,운영
서초구,방배동,재개발(도시정비형),조합설립추진위원회승인,운영
동대문구,휘경동,재개발(주택정비형),정비구역지정,운영
중랑구,면목동,재개발(주택정비형),조합설립추진위원회승인,운영
